,Category,Rating,Priority,1 - Lagging,2 - Developing,3 - Proficient,4 - Exemplary
,FDR,Game Delivery Velocity,High,Fails to establish delivery cadence; game milestones slip by weeks. Does not define or communicate frame rate targets. Has not implemented reliable WebGL build processes. Collaboration with Backend/Creative is reactive and ineffective.,"Establishes some delivery structure; milestones occasionally slip. Has partially defined frame rate targets but instability persists. WebGL builds work inconsistently, requiring frequent rework. Collaboration exists but remains ad-hoc.",Ensures game milestones are met on schedule. Has established clear frame rate targets (60 fps) and holds team accountable. Drives reliable WebGL build processes. Proactively fosters effective collaboration with Backend for multiplayer integration and Creative for asset pipeline.,"Consistently delivers early or on-time with strategic buffer. Has driven frame rate performance culture; targets are exceeded across all devices. Champions fully automated, performant WebGL deployment. Establishes proactive cross-team collaboration; multiplayer and leaderboard integration seamless."
,FDR,Predictability & Scope Management,High,Has not established clear scope boundaries; game scope expands uncontrollably. Provides unreliable estimates (>50% variance). Fails to define or communicate scope creep to stakeholders. Team and stakeholders are repeatedly surprised by shifting targets.,Has defined some scope boundaries but allows expansion; estimates off by 20-30%. Occasionally negotiates scope changes but inconsistently. Stakeholders experience surprises due to inadequate communication.,Has established clear upfront scope definition with defined boundaries. Estimates accurate within 15%. Proactively identifies and manages scope creep. Regularly communicates scope changes to stakeholders with transparent rationale.,Has locked game scope with strategic buffer from day one. Provides estimates accurate within 10%. Proactively prevents scope changes through disciplined change-control process. Transparently negotiates tradeoffs with stakeholders who trust the roadmap completely.
,FDR,"Quality & Stability (Frame Rates, WebGL, Browser Compatibility)",High,Has not established performance budgets; frame rates erratic (20-45 fps). Fails to optimize WebGL performance on mobile. Does not address browser compatibility gaps (Chrome/Firefox/Safari). Game crashes are frequent due to lack of quality oversight.,Has set some frame rate targets; rates inconsistent (45-55 fps). WebGL works on major browsers but with compromises. Does not consistently test browser compatibility; minor bugs persist. Crashes occur occasionally.,Has established performance targets and ensures frame rates remain stable (58-60 fps). Drives WebGL optimization for modern browsers. Systematically tests and documents browser compatibility. Monitors crash patterns and resolves issues rapidly.,"Has driven culture of performance excellence; frame rates solid (60+ fps) across devices/browsers. Champions WebGL optimization practices (minimal draw calls, texture atlasing). Ensures compatibility span includes legacy browsers. Institutes automated performance monitoring and proactive regression prevention."
,RO,Team Allocation (Programmers vs Designer vs 3D Modelers),High,Fails to define clear team roles; 3D modelers idle while programmers bottleneck. Has not clarified subsystem ownership. Designer is overloaded across multiple games. 7-person team is severely underutilized.,Has defined team roles but does not optimize them; occasional misalignment occurs. Designer stretched across 2 games. Does not ensure clear subsystem ownership. Team capacity is not fully leveraged.,"Has established well-defined roles: ~4 programmers, 1 designer, 2 modelers. Assigns clear ownership of subsystems. Balances capacity across roles; each person leverages their skills. Designer focused on primary game.","Dynamically optimizes team roles based on project needs. Enables programmers to specialize (networking, graphics, gameplay). Builds cross-training capability across designer and modelers. Maintains surge capacity for crunch. Role flexibility is high."
,RO,Capacity Management (7-Person Team),High,Chronically overbooks the 7-person team; burnout is visible. Fails to maintain capacity buffer. Absences cause project collapse; no backups exist. Has not planned workload.,Team near capacity most sprints. Maintains minimal buffer. Absences create strain due to lack of cross-training. Workload planning is ad-hoc.,Tracks team capacity in ClickUp. Maintains 15-20% buffer systematically. Ensures absences are covered by cross-trained peers. Conducts quarterly capacity planning.,Models capacity per role and project needs. Maintains 25-30% strategic buffer. Ensures zero disruption from absences through deep cross-training. Balances workload proactively; team energy remains high. Plans staffing strategically for crunch periods.
,RO,"Tooling & Infrastructure (Unity Licenses, Build Pipelines, Asset Pipelines)",High,"Has not secured adequate Unity licenses; some have expired. Build times exceed 15 minutes, blocking releases. Asset pipeline is manual and error-prone. CI/CD does not exist. Build failures are frequent.",Has secured some Unity licenses but builds take 8-10 minutes. Asset pipeline is partially automated. CI/CD exists but is unreliable. Occasional build failures occur.,Has ensured sufficient Unity licenses (Pro for lead devs). Drives build times down to 3-5 minutes. Establishes automated asset pipeline. Implements reliable CI/CD for WebGL exports with consistent results.,"Has optimized and justified all licenses strategically. Champions build times <2 minutes (incremental). Builds fully automated asset pipeline (texture atlasing, LOD generation, compression). Establishes bulletproof CI/CD; one-click deploys available."
,SS,Communication & Transparency (Milestone Demos),High,Does not conduct regular demos; stakeholders are surprised by game state. Fails to explain design decisions. Progress visibility is zero. Team alignment is weak.,Conducts demos quarterly or less frequently. Stakeholders see game but encounter surprises. Explains design rationale inconsistently. Progress tracked loosely. Team alignment is partial.,Conducts bi-weekly milestone demos with playable builds. Ensures stakeholders understand game state clearly. Documents and communicates design decisions. Maintains visible progress in ClickUp. Aligns team weekly.,Establishes weekly playable demos showcasing new mechanics. Keeps stakeholders engaged and fully informed. Ensures design rationale is transparent. Provides real-time progress visibility. Maintains daily team alignment.
,SS,Expectation Management (Scope Creep Prevention),High,Allows scope creep to go uncontrolled; stakeholders add features mid-sprint without resistance. Has not defined 'Definition of Done'. Game vision constantly shifts. Team is frustrated by goal-post movement.,Allows common scope creep; stakeholders negotiate features. Defines loose 'Definition of Done'. Game vision drifts somewhat. Team is occasionally frustrated.,Locks scope per milestone. Triages features; defers low-priority items. Defines and enforces clear 'Definition of Done'. Maintains stable game vision. Stakeholders respect scope boundaries.,Establishes ironclad scope boundaries. Rigidly enforces feature triage process; all requests go through formal review. Rigorously enforces 'Definition of Done'. Unwavering game vision; vision document reviewed quarterly. Stakeholders trust roadmap completely.
,SS,Alignment with Product Vision (Game Design Vision),High,Has not established clear game design vision or vision document. Team builds features without direction. Game identity is confused. Vision is constantly re-interpreted.,Has drafted loose game design vision; document is outdated or informal. Team is generally aligned but re-interpretation occurs. Game identity is emerging but inconsistent.,"Has established clear, current Game Design Document (GDD). Defines vision clearly (e.g., 'casual web-based puzzle game'). Team deeply aligned on mechanics, art style, and target player. Game identity is strong.","Champions comprehensive, living GDD. Vision is compelling and inspirational. Ensures team embodies game vision in every decision. Reviews and evolves vision strategically quarterly."
,IRR,"Root Cause Analysis (Game Bugs, WebGL Issues)",Medium,Rarely identifies bug root causes. Same WebGL issues recur without resolution. Does not conduct post-mortems. Team operates in constant firefighting mode. Learning is minimal.,Identifies bug causes sometimes. Partially understands WebGL issues. Conducts occasional post-mortems. Captures some lessons.,Systematically identifies bug root causes. Diagnoses WebGL issues via profiling tools. Conducts monthly bug analysis with tracked action items. Team learns from patterns.,"Rigorously conducts root cause analysis proactively. Automates WebGL profiling (frame time, draw calls, memory). Drives quarterly retrospectives that improve systems. Bug recurrence is rare."
