#,Category Weights,Rubric Item,Question,Priority,1 - Lagging,2 - Developing,3 - Proficient,4 - Exemplary
1,FDR 100%,"Mobile Delivery Cadence & Predictability",How consistently does the team deliver mobile releases on schedule with stable build pipelines?,"High","Releases frequently miss deadlines; unstable Fastlane/Gradle builds","Releases sometimes delayed; occasional CI/CD failures in Android/iOS pipelines","Releases ship on schedule; reliable Fastlane/Gradle automation","Predictable sprint-to-store releases; proactive build health monitoring"
2,FDR 60% / CDQ 40%,"App Quality & Store Ratings",How well does the team maintain app store ratings (4.5+) and manage user-facing quality?,"High","Store ratings below 4.0; frequent low-star review complaints","Store ratings 4.0-4.3; some quality issues noted by users","Store ratings 4.5+; consistent positive user feedback on app stability","Store ratings 4.7+; category-leading ratings; proactive quality brand"
3,RO 100%,"Platform Allocation & Workload Balance",How effectively does the Mobile Head allocate resources across Android (Kotlin) and iOS (Swift) teams?,"High","Uneven platform coverage; bottlenecks in one OS; team burnout","Generally balanced; occasional platform delays or overallocation","Well-balanced team distribution; both platforms ship on parity","Cross-platform resource agility; proactive skill rotation between iOS/Android"
4,RO 50% / CPS 30% / CD 20%,"Mobile CI/CD & Process Innovation",How mature are the mobile CI/CD systems (Fastlane, Gradle) and process improvements?,"High","Manual build processes; inconsistent test coverage; slow release cycles","Semi-automated pipelines; basic test coverage; occasional manual gate delays","Robust Fastlane/Gradle setup; comprehensive unit/UI test automation","Advanced device farm orchestration; parallel build testing; ML-based test prioritization"
5,SS 100%,"App Store Release Readiness & Gatekeeping",How disciplined is the release gating process for Play Store and App Store submissions?,"High","Releases ship with missing review; inadequate pre-submission checks","Most releases meet requirements; occasional review rejections or hold-ups","All releases pre-screened; consistent approval within SLAs","Proactive ASO optimization; zero rejections; predictive release scoring"
6,SS 50% / CSF 50%,"Mobile Status & Reporting to Stakeholders",How effectively does the Mobile Head communicate mobile health and release status?,"High","Stakeholders often surprised by issues; unclear mobile roadmap status","Status updates sporadic; mostly reactive communication on problems","Regular dashboards showing crash rates, ratings, release schedules","Automated alerts, Firebase Analytics dashboards, proactive trend briefings"
7,IRR 100%,"Crash Response & Root Cause Analysis",How quickly and thoroughly does the team respond to production crashes?,"High","Crash rates >1%; slow root cause analysis; inadequate RCA docs","Crash rates 0.5-1%; basic RCA; inconsistent fix turnaround","Crash rates <0.5%; timely RCA with Crashlytics; structured fixes","Sub-0.2% crashes; predictive crash analysis; proactive stability improvements"
8,DCT 100%,"Requirement Readiness & PR Review Discipline",How well does the team prepare requirements and enforce code review standards?,"High","Incomplete PRs; weak review discipline; architectural violations slipping","Requirements mostly clear; code reviews inconsistent; some technical debt accumulation","Well-defined user stories in ClickUp; thorough PR reviews; MVVM/Clean Arch enforced","Comprehensive acceptance criteria; expert-level reviews; architectural patterns locked"
9,DCT 60% / CPS 40%,"Execution Flow & Blocker Removal",How effectively does the team execute against plan and unblock issues?,"Medium","Frequent blockers; slow resolution; team waiting for answers","Some blockers; typical resolution in 2-3 days; adequate forward progress","Quick blocker identification; 24-hour unblock targets; smooth execution flow","Proactive blocker prevention; <4-hour resolution; sustained delivery momentum"
10,CDQ 100%,"Mobile Architecture & Documentation Standards",How well are mobile apps architected (MVVM/Clean Architecture) and documented?,"High","Inconsistent patterns; poor documentation; hard to maintain","Basic MVVM; partial documentation; moderate technical debt","Strong MVVM/Clean Arch; Jetpack Compose/SwiftUI patterns; clear code docs","Industry-leading architecture; comprehensive design docs; future-proof patterns"
11,CDQ 50% / TSD 50%,"Code Review & Peer Mentorship",How rigorous are code reviews and how well do senior devs mentor juniors?,"High","Superficial reviews; minimal mentorship; knowledge silos","Standard reviews; some mentorship; uneven skill development","Expert code reviews; intentional mentorship; structured onboarding for both iOS/Android","Review culture drives learning; mentees advance; documented architectural decisions"
12,TDA 100%,"Technical Debt Management",How proactively does the team address technical debt in mobile codebases?,"Medium","Debt accumulates; older dependencies; deprecated Swift/Kotlin patterns","Some debt reduction; periodic refactors; mostly current dependencies","Quarterly debt sprints; modern tooling (Kotlin Coroutines, Swift Concurrency); manageable backlog","Proactive debt prevention; modern best practices embedded; minimal legacy code"
13,TSD 70% / CSF 30%,"Team Knowledge Sharing & Skill Evolution",How well does the team share knowledge and evolve skill levels?,"High","Knowledge hoarded; uneven expertise; weak onboarding","Some documentation; pair programming; inconsistent skill growth","Regular knowledge sessions; pair code reviews; clear skill development paths","Internal tech talks; cross-platform skill transfer; team-wide expertise growth"
14,TER 60% / IO 40%,"Psychological Safety & Team Climate",How safe and inclusive does the team feel for innovation and voice?,"High","Fear of failures; blame culture; innovation discouraged","Cautious voice; occasional risk-taking; some blame residue","Safe space for ideas; constructive feedback; team experiments encouraged","High trust; rapid experimentation cycles; proactive psychological safety practices"
15,TER 100%,"Retention & Engagement Outcomes",How engaged and retained is the mobile team?,"High","High turnover; disengaged team; flight risk among senior devs","Moderate turnover; uneven engagement; some flight risk","Strong retention; engaged team; low voluntary turnover","Best-in-category retention; highly engaged iOS/Android leads; career momentum"
16,KSI 100%,"Mobile Knowledge Capture & Cross-Division Sharing",How well is mobile knowledge documented and shared cross-team?,"Medium","Knowledge mostly in heads; poor cross-team sharing; docs fragmented","Basic runbooks; some cross-team pairing; partial documentation","Comprehensive mobile playbooks; regular knowledge sessions; clear architecture guides","Searchable knowledge hub; proactive cross-division sync; mobile expertise recognized company-wide"
17,PD 60% / SS 20% / TER 20%,"Vision Translation & Team Purpose",How clearly does the Mobile Head translate company vision to team purpose?,"Medium","Vision unclear; team disconnected from goals; low alignment","Vision communicated; some alignment gaps; quarterly re-checking needed","Clear vision cascade; team sees impact; aligned on app strategy and OKRs","Inspiring vision; proactive alignment; team autonomy within clear strategic direction"
18,PD 100%,"Strategic Initiative & Impact Measurement",How well does the Mobile Head drive strategic mobile initiatives and measure outcomes?,"Medium","No clear strategic focus; reactive roadmap; unmeasured impact","Basic initiatives; some outcome tracking; inconsistent metrics","Clear platform strategy (Play Store dominance, 4.5+ ratings goal); tracked metrics","Transformational mobile initiatives; quantified business impact; recognized strategic wins"
19,RDM 100%,"Risk-Based Prioritization",How effectively does the team identify and prioritize mobile risks?,"High","Risks identified reactively; poor prioritization; last-minute firefighting","Some risk identification; basic prioritization framework; occasional firefighting","Regular risk reviews; prioritized backlog; framework for crash/rating/compliance risks","Predictive risk modeling; proactive mitigation; zero surprise production incidents"
20,RDM 60% / CSF 40%,"Trade-off Transparency",How transparently does the team communicate technical and schedule trade-offs?,"Medium","Trade-offs hidden; decisions opaque; stakeholder frustration","Trade-offs discussed informally; some transparency gaps; occasional surprises","Clear trade-off decisions documented; stakeholders briefed; aligned on priorities","Transparent decision framework; proactive trade-off scenarios; stakeholder confidence high"
