#,Category Weights,Rubric Item,Question,Priority,1 - Lagging,2 - Developing,3 - Proficient,4 - Exemplary
1,FDR 100%,"Frontend Delivery Cadence & Predictability","How consistently does the Frontend Head deliver completed features and UI updates on the committed schedule?",High,"Releases frequently miss target dates; delivery predictability is unreliable.","Most releases miss deadlines; sprint velocity is inconsistent.","Releases typically meet committed dates with occasional minor delays.","All features ship on schedule; sprint velocity is predictable and well-forecasted."
2,FDR 60% / CDQ 40%,"UI Quality & Core Web Vitals","How effectively does the team maintain high-quality user interfaces while optimizing Core Web Vitals (LCP, FID, CLS)?",High,"Core Web Vitals scores are poor (red in Lighthouse); UI quality issues block user experience.","Core Web Vitals are inconsistent; some pages meet targets while others lag significantly.","Most Core Web Vitals targets are met; UI quality issues are caught and resolved quickly.","All pages maintain excellent Core Web Vitals scores and UI quality is consistently high."
3,RO 100%,"Team Allocation & Workload Balance","Is the 11-person team allocated effectively with reasonable workload distribution and minimal burnout?",High,"Team is severely overallocated; frequent context-switching; high burnout signals.","Team allocation is uneven; some members are overloaded while others are underutilized.","Workload is generally balanced across the team with occasional spikes handled well.","Team workload is optimally distributed; members have room for growth and reduce burnout."
4,RO 50% / CPS 30% / CD 20%,"Build Tooling & Process Innovation","How well does the team leverage Vite, CI/CD automation, and testing frameworks to improve development velocity?",High,"Build tooling is outdated; CI/CD is manual and slow; tests are minimal or ignored.","Some build optimization efforts underway; CI/CD has gaps; test coverage is inconsistent.","Build tooling is well-configured; CI/CD pipeline is reliable; automated tests provide confidence.","Build tooling is optimized; CI/CD is fast and robust; automated testing enables rapid iteration."
5,SS 100%,"Release Readiness & Gatekeeping","Does the Frontend Head maintain rigorous quality gates before production releases?",High,"Releases go out without proper testing or sign-off; quality is unpredictable.","Release checklist exists but is inconsistently applied; occasional regressions in production.","Release gates are enforced; most issues are caught before production.","Release gates are rigorous; all releases are thoroughly validated before deployment."
6,SS 50% / CSF 50%,"Frontend Status & Reporting to Stakeholders","How clearly and proactively does the Frontend Head communicate team progress, blockers, and status to leadership?",High,"Status is unclear or absent; stakeholders are frequently surprised by delays or issues.","Status updates are irregular; stakeholders sometimes lack clarity on progress.","Weekly status updates are clear and highlight key blockers and progress.","Stakeholders have clear visibility into progress, risks, and upcoming deliverables."
7,IRR 100%,"Incident Response & Root Cause Analysis","How effectively does the team respond to production frontend incidents and prevent recurrence?",High,"Incidents cause extended outages; no post-mortems or preventative measures.","Incidents are addressed eventually; RCA is inconsistent or superficial.","Incidents are resolved quickly; clear RCA identifies root causes.","Incidents are rare; when they occur, RCA is thorough and preventative fixes are implemented."
8,DCT 100%,"Spec Readiness & PR Review Discipline","How rigorously does the team follow specification requirements and maintain code review standards?",High,"PRs are merged without review; specs are ignored; code quality is poor.","PRs sometimes lack review; spec alignment is spotty.","PRs are consistently reviewed and specs are generally followed.","All PRs meet review standards; specs drive implementation; design system adherence is high."
9,DCT 60% / CPS 40%,"Execution Flow & Blocker Removal","How effectively does the Frontend Head identify and remove blockers to keep the team unblocked?",Medium,"Team is frequently blocked on design decisions, backend dependencies, or tooling issues.","Blockers exist for days before resolution; team velocity suffers.","Blockers are typically resolved within a day; team flow is good.","Blockers are identified early and resolved quickly; team flow is seamless."
10,CDQ 100%,"React Architecture & Documentation Standards","How well are React components architected and documented for long-term maintainability?",High,"React patterns are inconsistent; no documentation; technical debt is high.","React code has some patterns; documentation is minimal.","React components follow consistent patterns; documentation covers most components.","React architecture is clean and scalable; documentation is comprehensive and kept current."
11,CDQ 50% / TSD 50%,"Code Review & Peer Mentorship","How effectively does the team conduct peer code reviews and mentor junior developers?",High,"Code reviews are rare or superficial; knowledge stays siloed.","Code reviews happen but lack depth; mentorship is informal.","Code reviews are constructive; junior developers receive regular guidance.","Code reviews drive learning; mentorship is structured and intentional."
12,TDA 100%,"Technical Debt Management","How proactively does the team identify, prioritize, and address technical debt?",Medium,"Technical debt is untracked and growing; it impedes new feature development.","Technical debt exists but is rarely addressed; it accumulates.","Technical debt is tracked and addressed in regular sprints.","Technical debt is actively managed; refactoring is built into sprint planning."
13,TSD 70% / CSF 30%,"Team Knowledge Sharing & Skill Evolution","How well does the team share knowledge and grow their technical capabilities?",High,"Knowledge is siloed; no training or learning opportunities; skills stagnate.","Some knowledge sharing occurs; learning is ad-hoc.","Regular knowledge sharing sessions; team members are upskilling.","Structured learning program; team members mentor each other; skills are continuously evolving."
