#,Category Weights,Rubric Item,Question,Priority,1 - Lagging,2 - Developing,3 - Proficient,4 - Exemplary
1,FDR 100%,Design Cadence & Predictability,How effectively does the head establish and maintain consistent design delivery schedules?,High,Design sprints and delivery timelines are frequently missed or undefined. Team lacks visibility into design deadlines and expectations are unclear.,"Design schedules exist but are inconsistent; some slippage occurs regularly. Team has partial visibility into upcoming deliverables and timelines.","Design cadence is predictable and reliable with clear sprint goals. Team can anticipate design deliverables and maintains consistent timelines.",Design cadence is exemplary with proactive planning that adapts to business needs. Team reliably delivers designs on schedule while maintaining flexibility for high-priority work.
2,FDR 60% / CDQ 40%,Design Quality & Consistency,To what extent does the head maintain design quality standards while ensuring consistency across deliverables?,High,Design outputs vary significantly in quality and consistency; brand guidelines are poorly followed. Design system components lack uniformity and updates are haphazard.,"Design quality is generally acceptable but inconsistent across projects. Brand guidelines are followed with occasional lapses; design system updates are infrequent.","Design quality is consistently high with strong adherence to brand guidelines and design system. Components are well-maintained and updates are timely and coordinated.","Design quality is exceptional with flawless consistency across all deliverables. Design system is a reference standard; all components are optimized for reusability and clearly documented."
3,RO 100%,Team Allocation & Workload Balance,How effectively does the head allocate team resources and manage workload distribution?,High,Team workload is unevenly distributed with some members overloaded while others are underutilized. Resource allocation is reactive and causes frequent burnout or bottlenecks.,"Workload distribution is mostly reasonable but occasional imbalances occur. Team members have some periods of overload but generally sustainable pace.","Team workload is well-balanced with clear allocation strategies. Resources are matched to projects based on skills and capacity; team maintains healthy pace.","Workload is optimally distributed with proactive capacity planning and skill-based assignment. Team maintains high engagement and performance while preventing burnout and skill silos."
4,RO 50% / CPS 30% / CD 20%,Design Tools & Process Innovation,To what extent does the head evaluate and optimize design tools and advocate for process improvements?,High,Design tools are outdated or suboptimal; Figma and Adobe Suite usage lacks standardization. Process improvements are rarely proposed or implemented.,"Design tool stack is acceptable but not fully optimized; some standardization across Figma and Adobe Suite exists. Occasional process improvements are suggested but inconsistently implemented.","Design tools are well-optimized and standardized; Figma libraries and Adobe workflows are efficient. Process improvements are regularly evaluated and implemented.","Design tools are cutting-edge and fully integrated; Figma component libraries and Adobe Suite workflows are exemplary. Head continuously drives innovation and optimization across the design stack."
5,SS 100%,Design Deliverable Readiness & Gatekeeping,How effectively does the head ensure design deliverables are complete and ready for handoff?,High,Design deliverables are frequently incomplete or lack necessary specifications and handoff documentation. Handoffs to development are often delayed or problematic.,"Design deliverables are mostly complete but occasionally missing specs or annotations. Handoffs generally occur on schedule with minor issues.","Design deliverables are thorough and complete with clear specs and documentation. Handoffs are smooth and development teams receive all necessary assets.","Design deliverables are exemplary with comprehensive specifications, design tokens, and documentation. Handoffs are seamless; development integrates designs with minimal back-and-forth."
6,SS 50% / CSF 50%,Design Status & Reporting to Stakeholders,To what extent does the head communicate design progress and address stakeholder concerns?,High,Design status is rarely communicated; stakeholders are uncertain about progress. Design team is unresponsive to stakeholder feedback and concerns.,"Design status updates are provided intermittently; stakeholders have incomplete visibility. Stakeholder feedback is acknowledged but responses are sometimes delayed.","Design status is regularly communicated with clear progress updates. Stakeholder concerns are addressed promptly and feedback loops are established.","Design communication is proactive and transparent with regular status briefings and executive summaries. Stakeholders feel heard and informed; feedback loops are strong and collaborative."
7,IRR 100%,Design Issue Response & Root Cause Analysis,How effectively does the head identify and resolve design issues and systemic problems?,High,Design issues are addressed slowly or superficially without root cause analysis. Recurring problems are not analyzed or prevented.,"Design issues are addressed but root cause analysis is inconsistent. Some recurring problems are identified but prevention strategies are weak.","Design issues are investigated and addressed with clear root cause analysis. Prevention strategies are implemented to reduce recurring problems.","Design issues are rapidly identified and thoroughly analyzed with proactive root cause elimination. Prevention strategies are exemplary; systemic problems are rare."
8,DCT 100%,Design Readiness & Review Discipline,To what extent does the head enforce design review standards and ensure readiness before implementation?,High,Design reviews are inconsistent or skipped; designs proceed to implementation without adequate review. Quality gates are weak or non-existent.,"Design reviews occur but are inconsistent in rigor or completeness. Some designs bypass review or move forward prematurely.","Design reviews are structured and consistent; designs receive appropriate feedback before implementation. Quality gates are clear and enforced.","Design reviews are exemplary with rigorous, constructive feedback that improves outcomes. Quality gates are strong; designs are exceptionally well-prepared for implementation."
9,DCT 60% / CPS 40%,Execution Flow & Blocker Removal,How effectively does the head remove obstacles and maintain smooth design workflow?,Medium,Design workflow is frequently blocked by tools, handoffs, or dependencies. Blockers are not prioritized and cause cascading delays.,"Design workflow experiences occasional blockers; some are resolved but resolution can be slow. Handoff dependencies sometimes create delays.","Design workflow is smooth with most blockers identified and resolved quickly. Interdependencies are well-managed and handoffs are coordinated.","Design workflow is exceptionally fluid with proactive blocker identification and rapid removal. Dependencies are anticipated and handoffs are seamless."
10,CDQ 100%,Design System & Documentation Standards,How effectively does the head maintain and evolve the design system and documentation?,High,Design system is incomplete or outdated; documentation is lacking or poorly organized. Design tokens and component standards are undefined.,"Design system exists but has gaps in coverage or outdated components. Documentation is partially complete; design tokens need better definition.","Design system is well-maintained with current components and clear documentation. Design tokens are defined; documentation is accessible and comprehensive.","Design system is exemplary and a reference standard across the organization. Documentation is exceptional; design tokens are optimized and frequently referenced."
