,Category,Rating,Priority,1 - Lagging,2 - Developing,3 - Proficient,4 - Exemplary
,FDR,Test Velocity & Throughput,High,Fails to establish realistic testing timelines or cadences; team throughput is unpredictable and lags behind sprint commitments.,Attempts to improve testing velocity but lacks consistency in execution; some sprints meet targets while others fall short.,Maintains consistent testing velocity and throughput; team reliably completes planned test execution within sprint timeframes.,Drives continuous velocity improvements through process optimization and team development; consistently exceeds sprint testing targets.
,FDR,Test Predictability & Planning,High,"Does not conduct effective capacity planning; test estimates are unreliable, causing frequent scope adjustments and delays.",Attempts planning but forecasts often miss the mark; team struggles to estimate testing complexity or duration accurately.,Conducts reliable capacity planning based on team capacity and historical data; estimates are generally accurate.,"Establishes predictive planning models that account for complexity, team capacity, and variables; consistently delivers accurate forecasts."
,FDR,Defect Detection Quality,High,"Fails to establish quality standards for defect detection; team findings lack rigor, missing critical issues before production.",Attempts to improve detection quality but inconsistently applies review standards; some high-severity defects escape testing.,Ensures team applies consistent quality standards in defect detection; critical issues are reliably identified during testing.,Has instituted rigorous review processes that maximize defect detection; team proactively surfaces subtle and high-impact issues.
,RO,Team Allocation & Specialization,High,"Does not optimize team allocation; testers are generalists performing poorly across platforms, with no clear specialization strategy.",Begins developing specialization but assignment decisions lack clear rationale; some testers are underutilized in their strengths.,Strategically allocates testers based on platform expertise; team develops specialized skills in mobile and web testing.,Continuously refines team allocation to maximize strengths; each tester is positioned in roles where they excel and grow.
,RO,Capacity & Workload Management,High,"Fails to manage workload; team is chronically overloaded or underutilized, causing burnout or idle time.",Attempts workload balancing but distribution is uneven; some team members carry disproportionate loads.,Monitors and balances workload across the team; capacity is managed to sustain consistent quality and avoid burnout.,Proactively manages capacity with visibility into pipeline demands; workload is optimized to maintain quality while protecting team well-being.
,RO,Test Tooling & Infrastructure,High,Fails to maintain or improve testing infrastructure; tool gaps and environment issues frequently block team productivity.,Addresses tooling issues reactively; infrastructure improvements lag behind team needs and emerging testing challenges.,Maintains functional tooling and infrastructure; team has access to necessary tools and environments to execute testing.,"Drives strategic tooling and infrastructure investments; team has cutting-edge tools that enable efficient, scalable testing practices."
,SS,Quality Status Communication,High,"Does not communicate quality status clearly; stakeholders lack visibility into testing progress, risks, or findings.",Communicates status irregularly or without sufficient context; stakeholders often misunderstand testing coverage or risk levels.,"Provides clear, regular quality status updates; stakeholders understand testing progress, coverage, and readiness for release.",Ensures crystal-clear quality communication tailored to audience; stakeholders have real-time visibility and confidence in quality assessments.
,SS,Release Readiness & Gatekeeping,High,"Fails to establish release criteria; quality gates are weak or ignored, resulting in defect-prone releases.",Establishes release criteria but inconsistently enforces them; some releases proceed despite unresolved quality risks.,Maintains effective release gates with clear criteria; only releases meeting quality standards proceed to production.,Champions rigorous release gatekeeping with well-defined criteria and unwavering enforcement; ensures only high-quality releases reach customers.
,SS,Alignment with Product Vision,Medium,Does not engage with product strategy; QA testing is disconnected from product goals and customer needs.,Attempts to align with product vision but understanding is superficial; testing priorities don't fully reflect product strategy.,Understands product vision and ensures QA priorities align; testing focuses on features and experiences that matter most.,Deeply embeds product vision into QA strategy; team testing is laser-focused on customer impact and business objectives.
,IRR,Production Defect Root Cause Analysis,High,Does not conduct meaningful root cause analysis; production defects escape without learning or process improvement.,Attempts RCA but analysis is surface-level; team identifies symptoms but not underlying process gaps.,Conducts thorough RCA on production defects; identifies gaps and implements preventive measures.,Drives comprehensive RCA processes that uncover systemic issues; team continuously improves testing practices to prevent recurrence.
,IRR,Incident Support & Response,Medium,Fails to respond quickly to production incidents; team is unavailable or slow to investigate and support.,Attempts to respond to incidents but support is inconsistent; some critical investigations lack urgency.,Responds promptly to production incidents; team investigates effectively and supports resolution efforts.,"Ensures rapid, expert incident response; team proactively supports investigations and helps prevent further issues."
